Q170,VARC,SPOT THE ERROR,Error Spotting,He is guilty (A)/ for killing (B)/ an innocent bird. (C)/ No error (D),,He is guilty,for killing,an innocent bird,No error,,B,Easy
Q171,VARC,SPOT THE ERROR,Error Spotting,"I have just come (A)/ to know that Mr. Ray, one of my favourite (B)/ teachers, died with cancer recently. (C)/ No error (D)",,I have just come,"to know that Mr. Ray, one of my favourite","teachers, died with cancer recently",No error,,C,Easy
Q172,VARC,SPOT THE ERROR,Error Spotting,Many persons must have read(A)/The Arabian Nights (B)/ which is very interesting. (C)/ No error (D),,Many persons must have read,The Arabian Nights,which is very interesting,No error,,A,Easy
Q173,VARC,SPOT THE ERROR,Error Spotting,"We should make green vegetables (A)/ an essential part of our daily diet,(B)/ shouldn't we? (C)/ No error (D)",,We should make green vegetables,"an essential part of our daily diet,",shouldn't we?,No error,,D,Easy
Q174,VARC,SPOT THE ERROR,Error Spotting,He has promised (A)/ to pay me the whole amount (B)/ in cheque with the stipulated time. (C)/ No error (D),,He has promised,to pay me the whole amount,in cheque with the stipulated time,No error,,C,Easy
Q175,VARC,SPOT THE ERROR,Error Spotting,We must have (A)/sympathy for (B)/needy and the poor. (C)/ No error (D),,We must have,sympathy for,needy and the poor,No error,,C,Moderate
Q176,VARC,SPOT THE ERROR,Error Spotting,When I left (A)/ the house at 9 o'clock (B)/ my son was still at home. (C)/ No error (D),,When I left,the house at 9 o'clock,my son was still at home,No error,,D,Moderate
Q177,VARC,SPOT THE ERROR,Error Spotting,I did not receive (A)/ any letter from my parents (B)/ for the last two months. (C)/ No error (D),,I did not receive,any letter from my parents,for the last two months,No error,,A,Moderate
Q178,VARC,SPOT THE ERROR,Error Spotting,The other day my sister told me (A)/ that she will be moving (B)/ to her new apartment very soon.(C)/ No error (D),,The other day my sister told me,that she will be moving,to her new apartment very soon,No error,,B,Moderate
Q179,VARC,SPOT THE ERROR,Error Spotting,Tony is giving me a lift. (A)/ He's coming to (B)/ call for me at ten. (C)/ No error (D).,,Tony is giving me a lift.,He's coming to,call for me at ten,No error,,D,Moderate
Q180,VARC,SPOT THE ERROR,Error Spotting,The new lecturer (A)/ seems to be very popular with (B)/ most of the class. (C)/ No error (D).,,The new lecturer,seems to be very popular with,most of the class,No error,,D,Moderate
Q181,VARC,SPOT THE ERROR,Error Spotting,Raj surprised everyone (A)/ when he created an unbreakable record (B)/ of one and a half centuries.(C)/No error (D),,Raj surprised everyone,when he created an unbreakable record,of one and a half centuries,No error,,B,Moderate
Q182,VARC,SPOT THE ERROR,Error Spotting,Do not write him of (A)/ as I feel he still has the fire (B)/ smouldering in him. (C)/ No error (D),,Do not write him of,as I feel he still has the fire,smouldering in him,No error,,A,Moderate
Q183,VARC,SPOT THE ERROR,Error Spotting,The poor man saves the money (A)/ but then he began to worry (B)/ that thieves might take it away.(C)/ No error (D),,The poor man saves the money,but then he began to worry,that thieves might take it away,No error,,A,Moderate
Q184,VARC,SPOT THE ERROR,Error Spotting,He adviced me (A)/ to join (B)/ the computer course later in the year.(C)/ No error (D),,He adviced me,to join,the computer course later in the year,No error,,A,Moderate
Q185,VARC,SPOT THE ERROR,Error Spotting,Some of our latest canon (A)/ that have come out of the production (B)/ line have a very long range. (C)/ No error (D),,Some of our latest canon,that have come out of the production,line have a very long range,No error,,A,Moderate
Q186,VARC,SPOT THE ERROR,Error Spotting,He couldn't but help (A)/ shed tears at the plight of the villagers (B)/ rendered homeless by a devastating cyclone.(C)/ No error (D),,He couldn't but help,shed tears at the plight of the villagers,rendered homeless by a devastating cyclone,No error,,A,Moderate
Q187,VARC,SPOT THE ERROR,Error Spotting,Most of the members at the meeting felt (A)/ that the group appointed to investigate the case (B)/ were not competent to do the job efficiently.(C)/ No error (D),,Most of the members at the meeting felt,that the group appointed to investigate the case,were not competent to do the job efficiently,No error,,C,Moderate
Q188,VARC,SPOT THE ERROR,Error Spotting,The museum's revolving doors (A)/ stopped the crooks (B)/ as they jam half way round.(C)/ No error (D),,The museum's revolving doors,stopped the crooks,as they jam half way round,No error,,C,Difficult
Q189,VARC,SPOT THE ERROR,Error Spotting,The children left (A)/ the playground (B)/ one after one. (C)/ No error [D],,The children left,the playground,one after one,No error,,C,Difficult
Q190,VARC,SPOT THE ERROR,Error Spotting,The fight for liberation (A)/ brings out the best and (B)/ a noblest quality in mankind. (C)/ No error (D),,The fight for liberation,brings out the best and,a noblest quality in mankind,No error,,C,Difficult
Q191,VARC,SPOT THE ERROR,Error Spotting,The baby was (A)/ clinging with her (B)/ mother in fear. (C)/ No error (D),,The baby was,clinging with her,mother in fear,No error,,B,Difficult
Q192,VARC,SPOT THE ERROR,Error Spotting,Not much (A)/ people realize (B)/ his sincerity. (C)/ No error (D),,Not much,people realize,his sincerity,No error,,A,Difficult
Q193,VARC,SPOT THE ERROR,Error Spotting,The government (A)/ must provide facilities for the (B)/ upbringing of women. (C)/ No error (D),,The government,must provide facilities for the,upbringing of women,No error,,C,Difficult
Q194,VARC,SPOT THE ERROR,Error Spotting,Not only we seen (A)/ the Tali temple but (B)/ also the Thirunelli temple. (C)/No error (D),,Not only we seen,the Tali temple but,also the Thirunelli temple,No error,,A,Difficult
Q195,VARC,SPOT THE ERROR,Error Spotting,The unique selling proposition of (A)/our products are that (B)/ they are unbreakable. (C)/ No error (D),,The unique selling proposition of,our products are that,they are unbreakable,No error,,B,Difficult
Q196,VARC,SPOT THE ERROR,Error Spotting,She said a number of lies (A)/ and left without (B)/completing her work. (C)/No error (D),,She said a number of lies,and left without,completing her work,No error,,A,Difficult
Q197,VARC,SPOT THE ERROR,Error Spotting,His reputation for (A)/ being rough on (B)/students was well earned. (C)/ No error (D),,His reputation for,being rough on,students was well earned,No error,,D,Difficult
Q198,VARC,SPOT THE ERROR,Error Spotting,Tom Sawyer is one (A)/ of the best kid stories (B)/ that was ever written. (C)/ No error (D),,Tom Sawyer is one,of the best kid stories,that was ever written,No error,,C,Difficult
Q199,VARC,PARAJUMBLES,Sentence Arrangement,Pick the option that gives the correct order of the following sentences.,"She was a tall woman and she carried a large purse.\nSuddenly a boy ran up be- hind her and tried to snatch her purse.\nIt was 11 O'clock at night and a woman was walking alone.\nIt had a long strap, and she carried it slung across her shoulder.",CADB,DCBA,ACDB,DBCA,,A,very easy
Q200,VARC,PARAJUMBLES,Sentence Arrangement,Pick the option that gives the correct order of the following sentences.,"Security cameras captured the whole incident.\nCommuters in Virginia, USA got a shock when a deer entered a metro station.\nHowever, it eventually backed out and ran away unharmed.\nNobody knows how it made into the station.",DCBA,BADC,BDCA,ADCB,,C,very easy
Q201,VARC,PARAJUMBLES,Sentence Arrangement,Pick the option that gives the correct order of the following sentences.,It is because nowadays people have no time for recreation.\nBut this pastime is getting out of favour now.\nIt is really a thrilling exercise.\nFlying kites is my favourite pastime,DCBA,CDAB,DBAC,BCDA,,A,very easy
Q202,VARC,PARAJUMBLES,Sentence Arrangement,Pick the option that gives the correct order of the following sentences.,"If we drove 10 kilometers along the road that branched off to the right, we would reach Barhampur.\nAditya and I were returning from the site of our new factory.\nWe had reached a point where the road bifurcated.\nWe were driving along National Highway 40.",CDBA,BDAC,BDCA,ACBD,,C,very easy
Q203,VARC,PARAJUMBLES,Sentence Arrangement,Pick the option that gives the correct order of the following sentences.,"They appeared to be posing for 'selfies'.\nAn expeditioner had left it sitting on the ice while he visited a rookery.\nIn Antarctica, two penguins found a video camera.\nThe penguins curiously stared down at the camera.",CBDA,CADB,DACB,BCDA,,A,very easy
Q204,VARC,PARAJUMBLES,Sentence Arrangement,Pick the option that gives the correct order of the following sentences.,"Mr. Adams was very proud of it and insisted on an inspection by everyone.\nThe vault was a small one but it had a new patented door.\nIt fastened three solid steel bolts thrown simultaneously with a single handle, and had a time lock.\nThe Elmore Bank had just put in a new safe and vault.",BCAD,ADBC,ABCD,DABC,,D,very easy
Q205,VARC,PARAJUMBLES,Sentence Arrangement,Pick the option that gives the correct order of the following sentences.,"I caught a snake once.\nThat well is full of snakes.\nI caught it by its tail and dropped it in the old well.\nWhenever we catch one, instead of killing it, we drop it in the well.",BCAD,CBDA,ACBD,BACD,,C,very easy
Q206,VARC,PARAJUMBLES,Sentence Arrangement,Pick the option that gives the correct order of the following sentences.,"There were some mangoes lying beside him.\nShe looked at the mangoes longingly.\nRomi was growing fast and was nearly always hungry.\nJust as he was about to eat one, Kamla came along.",ABCD,BCAD,CBDA,CADB,,D,very easy
Q207,VARC,PARAJUMBLES,Sentence Arrangement,Pick the option that gives the correct order of the following sentences.,It was tossed high on the waves.\nA violent storm rocked the sea.\nThe helpless people aboard the ship plunged into the sea.\nFierce winds struck a sailing ship.,DCBA,DABC,BDCA,BDAC,,D,very easy
Q208,VARC,PARAJUMBLES,Sentence Arrangement,Pick the option that gives the correct order of the following sentences.,"I learnt to push Lily's wheel chair.\nI stopped the chair in front of the pond and watched Lily roll her eyes to see the ducks.\nAll of a sudden, the wheel chair shook violently.\nOne afternoon, I wheeled her to the park.",DACB,DBAC,ABCD,ADBC,,D,very easy
Q209,VARC,PARAJUMBLES,Sentence Arrangement,Pick the option that gives the correct order of the following sentences.,All day I seem to remember. I played on the sands with strange exciting children.\nThen watched the incoming tide destroy them.\nMy parents took me by car to a place by the sea.\nWe made sandcastles with huge walls.,ACDB,CADB,CDAB,ABCD,,B,Easy
Q210,VARC,PARAJUMBLES,Sentence Arrangement,Pick the option that gives the correct order of the following sentences.,"On Saturday the 10th, Typhoon Lekima made land fall in China's Zhejiang province.\nThis province is often hit with typhoons, but this storm was its strongest ever.\nThe typhoon brought winds of up to 116mph, and floods affected almost 5 million people.\nMore than 1 million people were evacuated from their homes.",ABCD,BDCA,ADBC,CBAD,,A,Easy
Q211,VARC,PARAJUMBLES,Sentence Arrangement,Pick the option that gives the correct order of the following sentences.,"And taking this village lad into their midst was terribly upsetting.\nShe was by no means pleased with this unnecessary addition to her family.\nWhen he reached Calcutta, Phatik met his aunt for the first time.\nShe found her own three boys quite enough to manage without taking in anyone else.",CBDA,BCDA,BCAD,CADB,,A,Easy
Q212,VARC,PARAJUMBLES,Sentence Arrangement,Pick the option that gives the correct order of the following sentences.,"After around 20 minutes of the carsh, the tanker caught fire and exploded.\nOn Saturday, an oil tanker in Tanzania lost control and overturned on a busy road.\nAround 150 people gathered near the tanker and some of them tried to siphon away some fuel.\nAt least 61 people died and 70 more were injured.",DCAB,BCAD,DBAC,BACD,,B,Easy
Q213,VARC,PARAJUMBLES,Sentence Arrangement,Pick the option that gives the correct order of the following sentences.,"Using his mother's show- business contacts, Charlie became a professional entertainer in 1897.\nHe spent his early childhood with his mother, the singer Hannah Hall, after she and his father separated.\nEven today Charlie is widely regarded as the greatest comic artist of the screen and one of the most important figures in motion-picture his- tory.\nCharlie Chaplin was born on April 16, 1889 in London and named after his father, a British music-hall entertainer.",CBDA,CABD,DABC,DBAC,,D,Easy
Q214,VARC,PARAJUMBLES,Sentence Arrangement,Pick the option that gives the correct order of the following sentences.,"New ideas on marketing were brainstormed and all the members agreed to try them forthwith.\nUpon their return from an off site camp Ravi and Sunil decided to hold a meeting.\nAs soon as everyone assembled, the meeting which lasted for four hours, began.\nIts purpose was to replace some of the old ways of marketing used by the company with new ones.",ACBD,BDAC,CDBA,BCDA,,D,Easy
Q215,VARC,PARAJUMBLES,Sentence Arrangement,Pick the option that gives the correct order of the following sentences.,"There is a story about an ancient Indian sage who was called ugly names by a passer-by.\nThe sage then said, ""Well then, I have not accepted your offering"" and walked away.\nHe finally asked the man, ""If an offering is not accepted who does it belong to?""\nat which the man replied, ""To the person who offered it."".\nThe sage listened unperturbed till the man ran out of words.",CABD,ACDB,DCBA,ADCB,,D,Easy
Q216,VARC,PARAJUMBLES,Sentence Arrangement,Pick the option that gives the correct order of the following sentences.,"It was called the 'take ownership' programme, and it worked.\nThe programme was a huge success in reviving the corporate culture of the bank and in reviving the bank's stock price.\nMy colleagues and I felt and behaved like owners, because we actually were.\nI once worked for a large bank that gave stock options to all of its employees.",CDBA,DACB,ADCB,CABD,,B,Easy
Q217,VARC,PARAJUMBLES,Sentence Arrangement,Pick the option that gives the correct order of the following sentences.,"This move is part of the government's reform agenda for PSBS under Enhanced Access and Service Excellence Programme (EASE) 2.0.\nBanks have already agreed to keep branches operation- al for customers for uniform working hours in one location and this will be another step towards standardising operating hours.\nUnder EASE a banker's panel has recommended that every region adopt one of three six-hour time slots 9 am to 3 pm, 10 am to 4 pm or 11 am to 5 pm.\nPublic sector banks (PSBs) across the country will soon have standard operating hours as per a recent move.",BCDA,CDBA,DCBA,DACB,,D,Easy
Q218,VARC,PARAJUMBLES,Sentence Arrangement,Pick the option that gives the correct order of the following sentences.,"In the study, researchers found that kids who experienced their growth spurt late had lower than average bone density in young adulthood.\nTeens who hit puberty late may end up with weaker bones, a new study finds.\nHowever, they continue to have lower bone strength even after they finish growing and may be at greater risk for osteoporosis in adult hood.\nThese later maturing teens do catch up with early maturing teens in terms of bone strength.",ACDB,BADC,BCDA,ADCB,,B,Easy
Q219,VARC,PARAJUMBLES,Sentence Arrangement,Pick the option that gives the correct order of the following sentences.,Having cancer is often one of the most stressful experiences in a person's life.\nThey also allow people to learn from others facing similar situations.\nThe groups are gaining popularity these days as they allow volunteers to talk with those who are living with cancer.\nBut these days there are support groups that help patients cope with the emotional aspects of cancer by providing an opportunity to share feelings and challenges they face with others.,CBDA,ADCB,DCBA,ACBD,,B,Moderate
Q220,VARC,PARAJUMBLES,Sentence Arrangement,Pick the option that gives the correct order of the following sentences.,"The Ingredients must therefore be of the finest quality and in the right proportions.\nWhen you have them right and keep practicing you are sure to bake some of the yummiest cakes.\nSuccess in life is just like baking a cake that requires many things.\nFirstly, unless you have the right ingredients and recipe it is not going to work.",BADC,CDAB,CABD,BCDA,,B,Moderate
Q221,VARC,PARAJUMBLES,Sentence Arrangement,Pick the option that gives the correct order of the following sentences.,"Creating a relaxing bedroom environment is very important too, and this can be done using a calming, subtle fragrance..\nIt is possible to retrain your brain to have a sound sleep.\nThis is possible if you make sure your room is undisturbed, quiet and dark.\nStart by regulating the times you go to bed and get up.",BDCA,ADBC,BCAD,DACB,,A,Moderate
Q222,VARC,PARAJUMBLES,Sentence Arrangement,Pick the option that gives the correct order of the following sentences.,"Spoon the brownie batter into the prepared pan and bake for 30 to 40 minutes.\nNow beat in eggs and vanilla extract, and add cocoa and mix until well combined.\nTo make chocolate chip brownies mix together melted butter, brown sugar and white sugar using a wooden spoon or hand mixer.\nNext, stir in flour and salt and mix until flour is incorporated, and then add some chocolate chips.",CDBA,ACDB,CABD,ADCB,,A,Moderate
Q223,VARC,PARAJUMBLES,Sentence Arrangement,Pick the option that gives the correct order of the following sentences.,She started the Udaipur- based organisation Shikshantar to create a space for self directed learning called 'un schooling.\nIt also organizes week-long camps where children involve themselves in local communities and interact with other kids who don't attend school.\nNidhi Jain has been an un schooling parent for over two decades.\nThe organisation arranges everything from internships in filmmaking to cooking for unschooled kids.,DBAC,CBAD,ACDB,CADB,,D,Moderate
Q224,VARC,PARAJUMBLES,Sentence Arrangement,Pick the option that gives the correct order of the following sentences.,"""It's sort of cool to be on a ship but even more amazing is this Earth we live on."".\nWilliams remarked as she described life on a spaceship to eager kids.\nWilliams, who is set to be one of the first to fly aboard Boeing's Starliner spacecraft in November 2019, was introduced at the festival by former NASA astronaut Mike Massimino.\nOn Sept. 22, 2018 NASA astronaut Sunita Williams – a veteran of two long-duration spaceflights - talked to families and space enthusiasts about space travel.\nShe was speaking at the In- trepid Air, Sea and Space Museum during the recent Space and Science Festival.",BCDA,CDBA,CBDA,BACD,,B,Moderate
Q225,VARC,PARAJUMBLES,Sentence Arrangement,Pick the option that gives the correct order of the following sentences.,"Some used cars may have been involved in accidents or salvaged and rebuilt.\nBefore buying a used car it's important to know everything there is to know about it.\nIf the car engine is clean, it's a good sign, but still ask for a test drive.\nIt is therefore very important to examine the car's engine for any fluid leaks.",CDBA,ACDB,BADC,DBCA,,C,Moderate
Q226,VARC,PARAJUMBLES,Sentence Arrangement,Pick the option that gives the correct order of the following sentences.,"According to hair loss experts, excess DHT drastically increases collagen production in the hair follicle.\nHair loss can be traced to an increase of internal Dihydro testosterone (DHT) and collagen production.\nEventually, collagen blocks the pore completely causing a lack of necessary blood flow due to which your hair loses its sheen, thins down and finally you lose your hair completely.\nWhen too much collagen lines the interior of the follicle, it narrows the pores, decreases blood flow and slowly strangles your hair to death.",DABC,DCAB,BADC,BDAC,,C,Moderate
Q227,VARC,PARAJUMBLES,Sentence Arrangement,Pick the option that gives the correct order of the following sentences.,"Over the past week, the state has been pounded by intense rainfall, thus transforming rate July deficit to surplus\nA year after being ravaged by the worst floods in 100 years, Kerala is once again facing a deluge.\nThe districts in Kerala's north-in particular Kozhikode, Wayanad, and Malappuram-are among the worst affected where relief work is going on.\nThe copious amounts of rain fall in the state have been both intense and consistent leading to many deaths besides rendering thousands homeless.",BADC,DBAC,DBCA,ABCD,,A,Moderate
Q228,VARC,PARAJUMBLES,Sentence Arrangement,Pick the option that gives the correct order of the following sentences.,It requires continuous learning and sacrifices.\nTo raise well behaved and responsible children one should be willing to invest a considerable amount of time.\npatience and energy.\nInstilling and inculcating good values in a child will go a long way in making him/ her a good person and a better citizen.\nThere is no doubt that parenting is among the most difficult and demanding tasks in the world.,ACBD,ABCD,BDCA,DABC,,D,Moderate
Q229,VARC,PARAJUMBLES,Sentence Arrangement,Pick the option that gives the correct order of the following sentences.,"So he told his son that for every careless act of his he would hammer a nail into a wooden pillar in their house, and for every positive act he would pull out one nail.\nThe boy saw that the pillar was getting crowded with nails and realised his mistake.\nA father wanted to inculcate a sense of responsibility in his careless son.\nHe resolved to change his behaviour and soon the nails started coming out, till there were none left.",BACD,BCDA,CABD,CDBA,,C,Difficult
Q230,VARC,PARAJUMBLES,Sentence Arrangement,Pick the option that gives the correct order of the following sentences.,"Now, that the real estate sec- tor has got its own regulator, RERA, from May 1, 2017, things are expected to improve.\nFor many of the homebuyers, across locations the delay has extended to almost six years or more.\nIn the absence of a regulator and with no rules in place, the builder-buyer battle appeared one-sided.\nFor the buyers of real estate properties the delay in possession of their homes has been the biggest concern.",DBCA,ABDC,DABC,BACD,,A,Difficult
Q231,VARC,PARAJUMBLES,Sentence Arrangement,Pick the option that gives the correct order of the following sentences.,"Though everything was on the up and up for Holzman, yet...something wasn't quite right.\nAt 19, he enrolled in the Culinary Institute of America before heading to the West Coast to cook for such well esteemed restaurants as Palladin, Napa and Aqua.\nHe got a little fed up with the kitchen and started to feel that he wanted to do something different with it.\nHolzman, a well known chef, started his career at the age of 15 when the prodigy began cooking under Eric Ripert at the iconic New York restaurant, Le Bernadin.",DBAC,ABCD,DACB,ACBD,,A,Difficult
Q232,VARC,PARAJUMBLES,Sentence Arrangement,Pick the option that gives the correct order of the following sentences.,"Later, they set up their own art school and gallery in the prison.\nThe prisoners wanted to display their art work inside the prison.\nThey took the help of volunteers from the School of Art.\nPrisoners who were interested in visual arts and painting could study there.",BCAD,DCAB,BDAC,CBAD,,A,Difficult
Q233,VARC,PARAJUMBLES,Sentence Arrangement,Pick the option that gives the correct order of the following sentences.,"As he looked at them, their heads began to hang low.\nAkbar glanced at his courtiers in search of an answer.\nOnce Akbar asked his courtiers a very strange question.\nThe courtiers were dumb- founded by his question.",CDBA,CADB,ACBD,DCAB,,A,Difficult
Q234,VARC,PARAJUMBLES,Sentence Arrangement,Pick the option that gives the correct order of the following sentences.,"Most of them are in jail because of their circumstances.\nNot all prisoners hardcore criminals. are\nSo, they deserve a chance to rehabilitate themselves.\nTherefore, learning a trade would help them reintegrate with society.",BDCA,ABCD,DCBA,BACD,,D,Difficult
Q235,VARC,PARAJUMBLES,Sentence Arrangement,Pick the option that gives the correct order of the following sentences.,"In the opening scene, the young boy Pip meets an escaped convict in a graveyard.\n'Great Expectations' is a novel by Charles Dickens.\nThe novel is set in Kent and London in the early 19th century.\nIt depicts the personal growth and development of an orphan named Pip.",ABCD,DCAB,CBAD,BCDA,,A,Difficult
Q236,VARC,PARAJUMBLES,Sentence Arrangement,Pick the option that gives the correct order of the following sentences.,"One fine morning, a hunter was getting ready to go hunting.\nHe pulled the blanket over the sleeping child.\nAs he did so, he thought the blanket was not warm enough.\nBefore departing, he went to see his little baby who was sleeping in a crib.",ACBD,ADBC,DCAB,CBAD,,B,Difficult
Q237,VARC,PARAJUMBLES,Sentence Arrangement,Pick the option that gives the correct order of the following sentences.,"Early on Christmas morning Pip returns to the graveyard with the file, a pie and bran- dy.\nOn Christmas Eve, Pip, an orphan who is about seven years old, encounters an escaped convict in the village graveyard.\nThe convict scares Pip into stealing food and a file.\nPip, who lives with his elder sister and her husband Joe Gargery, a blacksmith, steals a file and some food.",BCDA,CBAD,BDCA,DCAB,,A,Difficult
Q238,VARC,PARAJUMBLES,Sentence Arrangement,Pick the option that gives the correct order of the following sentences.,"But after a while they all began to blur in our memories.\nWhen we arrived in Bangkok, we took a tour of the city's famous Buddhist temples.\nHowever there was one temple, the Temple of Golden Buddha, which left an indelible impression in our hearts and minds.\nWe visited numerous temples that day.",BACD,DCBA,ADBC,BDAC,,D,Difficult
Q239,VARC,PARAJUMBLES,Sentence Arrangement,Pick the option that gives the correct order of the following sentences.,There was an old apple tree in the centre of a village.\nThe adults also sat in the shade and discussed important things.\nThey remembered that they too had played around the tree when they were young.\nChildren loved to play around the tree and pick delicious apples.,ADBC,DCAB,CBAD,ACBD,,A,Difficult
Q240,VARC,CRITICAL REASONING,Statements & Conclusions,Decide which of the conclusions logically follows.,"Statement: Good voice is a natural gift but one has to keep practising to improve and excel well in the field of music.\nConclusions:\nI. Natural gifts need nurturing and care.\nII. Even though your voice is not good, one can keep practising.",Only conclusion I follows,Only conclusion II follows,Either I or II follows,Neither I nor II follows,Both I and II follow,A,Very easy
Q241,VARC,CRITICAL REASONING,Statements & Conclusions,Decide which of the conclusions logically follows.,"Statement: All the organised persons find time for rest. Sunita, in spite of her very busy schedule, finds time for rest.\nConclusions:\nI. Sunita is an organised person.\nII. Sunita is an industrious person.",Only conclusion I follows,Only conclusion II follows,Either I or II follows,Neither I nor II follows,Both I and II follow,E,Very easy
Q242,VARC,CRITICAL REASONING,Statements & Conclusions,Decide which of the conclusions logically follows.,Statement: This book ‘Z’ is the only book which focuses its attention to the problem of pverty in India between 1950 and 1980.\nConclusions:\nI. There was no question of poverty before 1950.\nII. No other book deals with poverty in India during 1950 to 1980.,Only conclusion I follows,Only conclusion II follows,Either I or II follows,Neither I nor II follows,Both I and II follow,B,Very easy
Q243,VARC,CRITICAL REASONING,Statements & Conclusions,Decide which of the conclusions logically follows.,Statement: The secret of success is constancy of purpose.\nConclusions:\nI. Constant dripping wears the stone.\nII. Single-minded devotion is necessary for achieving success.,Only conclusion I follows,Only conclusion II follows,Either I or II follows,Neither I nor II follows,Both I and II follow,E,Very easy
Q244,VARC,CRITICAL REASONING,Statements & Conclusions,Decide which of the conclusions logically follows.,"Statement: The Prime Minister emphatically stated that his government will make every possible effort for the upliftment of poor farmers and farmhands.\nConclusions:\nI. Except poor farmers and farmhands, all others have got benefits of fruits of development.\nII. No serious efforts have been made in the past for upliftment of any section of the society.",Only conclusion I follows,Only conclusion II follows,Either I or II follows,Neither I nor II follows,Both I and II follow,D,Very easy
Q245,VARC,CRITICAL REASONING,Statements & Conclusions,Decide which of the conclusions logically follows.,"Statement: The Government of country X has recently announced several concessions and offered attractive package tours for foreign visitors.\nConclusions:\nI. Now, more number of foreign tourists will visit the country\nII. The Government of country X seemes to be serious in attracting tourists.",Only conclusion I follows,Only conclusion II follows,Either I or II follows,Neither I nor II follows,Both I and II follow,E,Very easy
Q246,VARC,CRITICAL REASONING,Statements & Conclusions,Decide which of the conclusions logically follows.,"Statement: Prome age school-going children in urban India have now become avid as well as more regular viewers of television, even in households without a T.V. As a result there has been an alarming decline in the extent of readership of newspapers.\nConclusions:\nI. Method of increasing the readership of newspapers should be devised.\nII. A team of experts should be sent to other countries to study the impact of TV on the readership of newspapers.",Only conclusion I follows,Only conclusion II follows,Either I or II follows,Neither I nor II follows,Both I and II follow,D,Very easy
Q247,VARC,CRITICAL REASONING,Statements & Conclusions,Decide which of the conclusions logically follows.,"Statement: From the next academic year, students will have the option of dropping Mathematics and Science for their school leaving certificate examination.\nConclusions:\nI. Students who are weak in Science and Mathematics will be admitted.\nII. Earlier students did not have the choice of continuing their education without taking these subjects.",Only conclusion I follows,Only conclusion II follows,Either I or II follows,Neither I nor II follows,Both I and II follow,E,Very easy
Q248,VARC,CRITICAL REASONING,Statements & Conclusions,Decide which of the conclusions logically follows.,Statement: This world is neither good nor evil; each man manufacturers a world for himself.\nConclusions:\nI. Some people find this world quite good.\nII. Some people find this world quite bad.,Only conclusion I follows,Only conclusion II follows,Either I or II follows,Neither I nor II follows,Both I and II follow,E,Very easy
Q249,VARC,CRITICAL REASONING,Statements & Conclusions,Decide which of the conclusions logically follows.,Statement: Double your money in five months – An advertisement.\nConclusions:\nI. The assurance is not genuine.\nII. People want their money to grow.,Only conclusion I follows,Only conclusion II follows,Either I or II follows,Neither I nor II follows,Both I and II follow,B,Very easy
Q250,VARC,CRITICAL REASONING,Statements & Conclusions,Decide which of the conclusions logically follows.,Statement: Company X has a record of manufacturing cameras of quality and the latest design so that you do not spoil even a single shot irrespective of the weather conditions.\nConclusions:\nI. No other company except X is reputed in the camera industry.\nII. Anyone can take an acceptable shot with camera X.,Only conclusion I follows,Only conclusion II follows,Either I or II follows,Neither I nor II follows,Both I and II follow,B,Very easy
Q251,VARC,CRITICAL REASONING,Statements & Conclusions,Decide which of the conclusions logically follows.,"Statement: Today out of the world population of several thousand million, the majority of men have to live under governments which refuse them personal liberty and the right to dissent.\nConclusions:\nI. People are indifferent to personal liberty and the right to dissent.\nII. People desire personal liberty and the right to dissent.",Only conclusion I follows,Only conclusion II follows,Either I or II follows,Neither I nor II follows,Both I and II follow,B,Very easy
Q252,VARC,CRITICAL REASONING,Statements & Conclusions,Decide which of the conclusions logically follows.,Statement: Irregularity is a cause for failure in exams. Some regular students fail in the examinations.\nConclusions:\nI. All failed students are regular.\nII. All successful students are not regular.,Only conclusion I follows,Only conclusion II follows,Either I or II follows,Neither I nor II follows,Both I and II follow,D,Very easy
Q253,VARC,CRITICAL REASONING,Statements & Conclusions,Decide which of the conclusions logically follows.,"Statement: To cultivate interest in reading, the school has made it compulsory from June this year for each student to read two books per week and submit a weekly report on the books.\nConclusions:\nI. Interest in reading can be created by force.\nII. Some students will eventually develop interest in reading.",Only conclusion I follows,Only conclusion II follows,Either I or II follows,Neither I nor II follows,Both I and II follow,B,Very easy
Q254,VARC,CRITICAL REASONING,Statements & Conclusions,Decide which of the conclusions logically follows.,Statement: The use of non-conventional sources of energy will eliminate the energy crisis in the world.\nConclusions:\nI. Modern technology is gradually replacing the conventional sources of energy.\nII. The excessive exploitation of environment has led to depletion of conventional sources of energy.,Only conclusion I follows,Only conclusion II follows,Either I or II follows,Neither I nor II follows,Both I and II follow,E,Very easy
Q255,VARC,CRITICAL REASONING,Statements & Assumptions,Decide which of the assumptions is implicit.,"Statement: If you have any problems, bring them to me.\nAssumptions:\nI. You have some problems.\nII. I can solve any problem.",Only assumption I is implicit,Only assumption II is implicit,Either I or II is implicit,Neither I nor II is implicit,Both I and II are implicit,B,Easy
Q256,VARC,CRITICAL REASONING,Statements & Assumptions,Decide which of the assumptions is implicit.,Statement: Detergents should be used to clean clothes.\nAssumptions:\nI. Detergents form more lather.\nII. Detergents help to dislodge grease and dirt.,Only assumption I is implicit,Only assumption II is implicit,Either I or II is implicit,Neither I nor II is implicit,Both I and II are implicit,B,Easy
